"Subjects"	"Activities"	"mean_av"	"std_av"
1	"walking"	-0.0838511898564593	-0.302551115789474
1	"Walking_upstairs"	-0.202251062321326	-0.428437164093768
1	"walking_downstairs"	-0.034996853432282	-0.263715483426098
1	"sitting"	-0.487496541586073	-0.962532559638943
1	"standing"	-0.516966667810177	-0.986795311606632
1	"laying"	-0.466461907272727	-0.896701503030303
2	"walking"	-0.179368292655367	-0.471525566512583
2	"Walking_upstairs"	-0.15589327209596	-0.386004343434343
2	"walking_downstairs"	-0.0128518588007737	-0.199982863958736
2	"sitting"	-0.500622331554677	-0.974104743083004
2	"standing"	-0.509457598204265	-0.970479797979798
2	"laying"	-0.505764241161616	-0.980478535353535
3	"walking"	-0.184901080982236	-0.45098189968652
3	"Walking_upstairs"	-0.221957494093477	-0.494767103235747
3	"walking_downstairs"	-0.106138410636982	-0.359281449598021
3	"sitting"	-0.478939176573427	-0.936742132867133
3	"standing"	-0.489568818728266	-0.934568306010929
3	"laying"	-0.495140225058651	-0.973559139784946
4	"walking"	-0.227436381313131	-0.556818345959596
4	"Walking_upstairs"	-0.201042463694639	-0.481657023892774
4	"walking_downstairs"	-0.133332907070707	-0.430333041750842
4	"sitting"	-0.484199384036364	-0.95149496969697
4	"standing"	-0.478667385335498	-0.931976298701299
4	"laying"	-0.496502858529742	-0.960853479236813
5	"walking"	-0.155137150811688	-0.426555784632035
5	"Walking_upstairs"	-0.129403916827853	-0.359286279819471
5	"walking_downstairs"	-0.0430871892392005	-0.25634246615087
5	"sitting"	-0.483916314738292	-0.952388925619835
5	"standing"	-0.472955856060606	-0.923529761904762
5	"laying"	-0.505394146853147	-0.972780885780886
6	"walking"	-0.102951787878788	-0.359314353003721
6	"Walking_upstairs"	-0.0890478653000594	-0.290930350564468
6	"walking_downstairs"	0.0741110492424242	-0.075720896969697
6	"sitting"	-0.483738684848485	-0.949509090909091
6	"standing"	-0.495531134502924	-0.950814992025518
6	"laying"	-0.490057098883573	-0.938888155236576
7	"walking"	-0.0830540180754918	-0.286080583200425
7	"Walking_upstairs"	-0.231846366607249	-0.493870350564468
7	"walking_downstairs"	-0.0622353816892328	-0.267096694390716
7	"sitting"	-0.485295609217172	-0.939410921717172
7	"standing"	-0.497124484848485	-0.954522012578616
7	"laying"	-0.495813437645688	-0.951889312354312
8	"walking"	-0.0628692054292929	-0.25829283459596
8	"Walking_upstairs"	-0.0504717124907613	-0.243302498152254
8	"walking_downstairs"	0.0859600231259968	-0.0880458660287081
8	"sitting"	-0.489467763372859	-0.965444861660079
8	"standing"	-0.503980426487093	-0.966668204264871
8	"laying"	-0.491563413580247	-0.953251346801347
9	"walking"	-0.153440772610723	-0.420157147435897
9	"Walking_upstairs"	-0.214020004514533	-0.490628761286333
9	"walking_downstairs"	-0.0601322207070707	-0.26497224025974
9	"sitting"	-0.480831805454545	-0.928221472727273
9	"standing"	-0.48801821952862	-0.950806734006734
9	"laying"	-0.508044983030303	-0.944241721212121
10	"walking"	-0.084193346598056	-0.330442362492853
10	"Walking_upstairs"	-0.097928169245648	-0.331373304190845
10	"walking_downstairs"	-0.000240208931419458	-0.217222147527911
10	"sitting"	-0.502541090347924	-0.971708080808081
10	"standing"	-0.48951700137741	-0.953575068870523
10	"laying"	-0.541836260188088	-0.961083228840125
11	"walking"	-0.222518768628659	-0.535495829481253
11	"Walking_upstairs"	-0.239940007856341	-0.501985914702581
11	"walking_downstairs"	-0.0974795342555995	-0.343943577075099
11	"sitting"	-0.490521931961121	-0.969919382504288
11	"standing"	-0.509342668600903	-0.985658284977434
11	"laying"	-0.500964090909091	-0.97754120148857
12	"walking"	-0.122793413939394	-0.389271664242424
12	"Walking_upstairs"	-0.213999976689977	-0.494012948717949
12	"walking_downstairs"	-0.0633847458399209	-0.2951630256917
12	"sitting"	-0.492136919786096	-0.963707070707071
12	"standing"	-0.494138560357675	-0.944557476403378
12	"laying"	-0.498127582727273	-0.957086363636364
13	"walking"	-0.0996176475279107	-0.322361608718767
13	"Walking_upstairs"	-0.206508033057851	-0.45477224077135
13	"walking_downstairs"	-0.0582159571244358	-0.283388900257898
13	"sitting"	-0.498871170933828	-0.97161706864564
13	"standing"	-0.511301009356725	-0.973492822966507
13	"laying"	-0.494982398875855	-0.967358748778104
14	"walking"	-0.177733558551618	-0.398956177709296
14	"Walking_upstairs"	-0.0675798204264871	-0.154643658810325
14	"walking_downstairs"	0.0520233175084175	-0.0451817279461279
14	"sitting"	-0.500430272446689	-0.960129797979798
14	"standing"	-0.511852813535354	-0.955644949494949
14	"laying"	-0.478714164408794	-0.934838502673797
15	"walking"	-0.165823832491583	-0.446404029180696
15	"Walking_upstairs"	-0.167364715909091	-0.421320989267677
15	"walking_downstairs"	-0.018347696969697	-0.20975832972583
15	"sitting"	-0.497427699486389	-0.970253210066769
15	"standing"	-0.501767760834763	-0.966133790737564
15	"laying"	-0.503201277356902	-0.962171296296296
16	"walking"	-0.226525100415924	-0.539747831253714
16	"Walking_upstairs"	-0.24731410516934	-0.518660819964349
16	"walking_downstairs"	-0.09764527724049	-0.333895764023211
16	"sitting"	-0.500723182257356	-0.968811198945982
